ID,hasAnyApp,hasAndroidApp,hasIosApp
3,TRUE,FALSE,TRUE
8,TRUE,FALSE,TRUE
21,TRUE,FALSE,TRUE
22,FALSE,FALSE,FALSE
23,TRUE,FALSE,TRUE
26,TRUE,FALSE,TRUE
31,TRUE,FALSE,TRUE
46,TRUE,TRUE,FALSE
49,TRUE,TRUE,TRUE
54,FALSE,FALSE,FALSE
57,TRUE,FALSE,TRUE
63,TRUE,FALSE,TRUE
67,FALSE,FALSE,FALSE
69,TRUE,TRUE,FALSE
79,TRUE,FALSE,TRUE
86,TRUE,FALSE,TRUE
105,FALSE,FALSE,FALSE
106,TRUE,FALSE,TRUE
107,TRUE,TRUE,FALSE
109,TRUE,FALSE,TRUE
117,TRUE,FALSE,TRUE
118,FALSE,FALSE,FALSE
119,FALSE,FALSE,FALSE
122,TRUE,FALSE,TRUE
124,TRUE,FALSE,TRUE
133,TRUE,FALSE,TRUE
140,TRUE,FALSE,TRUE
148,TRUE,FALSE,TRUE
151,TRUE,FALSE,TRUE
152,FALSE,FALSE,FALSE
159,TRUE,FALSE,TRUE
161,TRUE,FALSE,TRUE
163,TRUE,FALSE,TRUE
166,TRUE,FALSE,TRUE
170,TRUE,FALSE,TRUE
172,TRUE,FALSE,TRUE
181,FALSE,FALSE,FALSE
182,TRUE,FALSE,TRUE
186,TRUE,FALSE,TRUE
187,TRUE,FALSE,TRUE
192,TRUE,FALSE,TRUE
193,TRUE,FALSE,TRUE
196,FALSE,FALSE,FALSE
198,TRUE,FALSE,TRUE
201,TRUE,FALSE,TRUE
206,TRUE,FALSE,TRUE
211,FALSE,FALSE,FALSE
225,TRUE,FALSE,TRUE
235,FALSE,FALSE,FALSE
241,FALSE,FALSE,FALSE
243,FALSE,FALSE,FALSE
244,FALSE,FALSE,FALSE
251,TRUE,FALSE,TRUE
260,TRUE,FALSE,TRUE
265,FALSE,FALSE,FALSE
266,FALSE,FALSE,FALSE
270,TRUE,FALSE,TRUE
271,FALSE,FALSE,FALSE
275,TRUE,TRUE,FALSE
277,TRUE,TRUE,FALSE
278,TRUE,FALSE,TRUE
282,TRUE,FALSE,TRUE
287,TRUE,FALSE,TRUE
295,FALSE,FALSE,FALSE
297,TRUE,FALSE,TRUE
298,TRUE,FALSE,TRUE
300,TRUE,FALSE,TRUE
308,TRUE,TRUE,FALSE
310,TRUE,FALSE,TRUE
315,TRUE,FALSE,TRUE
318,TRUE,TRUE,FALSE
319,FALSE,FALSE,FALSE
